course_title,course_code,prerequisites,section,session,credits,campus,instructor,times,location,course_description,themes,year,semester,restriction,course_level,course_type
SPECIAL TOPICS,ENGS290,No prerequisite(s) for this course,0,15W,1,AUA Main Campus,Narine Sarvazyan,TUE 3:00pm-5:50pm,415E Paramaz Avedissian Building,"This short introductory course provides a comprehensive overview of the critical sub-domains within aerospace engineering. The survey course offers a high-level introduction to key aerospace domains and their interactions, encompassing the basics and necessary breadth of the field. Topics include aerodynamics, flight mechanics and performance, flight dynamics and control, orbital mechanics and spacecraft attitude dynamics, power and propulsion, operation and control, mission elements, and others.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Engineering Sciences Program's core or track elective course
SPECIAL TOPICS,ENGS290,No prerequisite(s) for this course,A,6w,1,AUA Main Campus,Oshin Peroomian,TBD,Not specified,"This short introductory course provides a comprehensive overview of the critical sub-domains within aerospace engineering. The survey course offers a high-level introduction to key aerospace domains and their interactions, encompassing the basics and necessary breadth of the field. Topics include aerodynamics, flight mechanics and performance, flight dynamics and control, orbital mechanics and spacecraft attitude dynamics, power and propulsion, operation and control, mission elements, and others.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Engineering Sciences Program's core or track elective course
SPECIAL TOPICS,ENGS290,No prerequisite(s) for this course,U,6w,1,AUA Main Campus,Raffi Knyazyan,TBD,Not specified,"This short introductory course provides a comprehensive overview of the critical sub-domains within aerospace engineering. The survey course offers a high-level introduction to key aerospace domains and their interactions, encompassing the basics and necessary breadth of the field. Topics include aerodynamics, flight mechanics and performance, flight dynamics and control, orbital mechanics and spacecraft attitude dynamics, power and propulsion, operation and control, mission elements, and others.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Engineering Sciences Program's core or track elective course
CAPSTONE 1,ENGS298,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Satenik Mnatsakanyan,Not specified,Not specified,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Engineering Sciences Program's core or track elective course
NATURAL ENVIRONMENT AND HUMANS,ENV300,No prerequisite(s) for this course,0,15w,1,AUA Main Campus,Alen Amirkhanian,THU 6:30pm-9:15pm,Classroom 208E Paramaz Avedissian Building,"The course is designed for graduate students from disparate disciplines to gain an overview of environmental principals and current environmental issues. The course will cover four broad areas. First it will discuss what ecosystems are, how they function, and the main processes keeping them stable. Second, it will review key environmental issues including climate change, loss of biodiversity, nitrogen and phosphorous cycle disruptions, eutrophication, chemical pollution (including persistent organic pollutants, heavy metals, particulate, etc.), degradation of natural habitats (deforestation, grasslands change and wetlands drainage), and so on. Third, basic environmental concepts, frameworks, and tools will be presented including sustainability, planetary boundary, ecological footprint, carbon footprint, and TRACI. Finally, the course will present broad review of regulatory and market-based policy directions employed to address environmental change. Topics will be supplemented by Armenia and Caucasus-specific cases.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Environmental and Sustainability Sciences Program's core or track elective course
INTRODUCTION TO ENVIRONMENTAL AND SUSTAINABILITY SCIENCES,ESS101,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Alen Amirkhanian,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Manoogian Hall 106E Paramaz Avedissian Building,"The course introduces the basic principles of environmental and sustainability sciences, including the structure and functioning of ecosystems and their physical and biogeochemical cycles. The course will also examine these ecosystems within the context of complex socio-ecological and socio-technical systems. Specific topics include biodiversity, water, soil, land and air resources, human population dynamics, food and industrial production, and waste and toxicity. Topics will be supplemented by Armenia- and Caucasus-specific cases.","This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Environmental and Sustainability Sciences Program's core or track elective course
MODES OF INQUIRY IN ESS,ESS102,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Garabet Kazanjian,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 204M Main Building,"The course introduces various methods of inquiry used in the field of Environmental and Sustainability Sciences. It is designed to equip students with tools and critical thinking skills to investigate, analyze, and explore paths to address complex challenges through the use of quantitative, qualitative, and hybrid approaches. Students will engage in hands-on exercises and case studies in ESS to enhance their practical skills. They will also develop abilities to critically evaluate existing research.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Environmental and Sustainability Sciences Program's core or track elective course
SUSTAINABLE ENERGY SYSTEMS AND SOLUTIONS,ESS140,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Armen Danielyan,"TUE 3:00pm-4:20pm, THU 3:00pm-4:20pm",Classroom 408E Paramaz Avedissian Building,"The course delves into the sustainable generation and use of energy at various scales, including building, local, national, and transnational levels. Key topics encompass energy efficiency, centralized and distributed energy generation, smart grids, non-fossil fuel transportation, energy storage, energy markets, and sustainable energy policies. Students will examine these topics from environmental, economic, and social perspectives. The course is project-based, allowing students to apply their knowledge through individual or group projects. Assessment will include these projects, as well as quizzes and examinations, ensuring a grasp of key topics.","This course belongs to themes 4, 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Environmental and Sustainability Sciences Program's core or track elective course
SUSTAINABLE FOOD SYSTEMS,ESS160,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Lusine Tadevosyan,"MON 4:30pm-5:20pm, WED 4:30pm-5:20pm, FRI 4:30pm-5:20pm",Classroom 415W Paramaz Avedissian Building,"The course focuses on human food systems, including their social, economic, and environmental sustainability aspects. Students will become familiar with primary agricultural resources and inputs, production technologies, post-harvest handling, and food waste, logistics, and marketing. They will also become familiar with developments in the food industry such as genetically modified organisms, organic agriculture (including sustainable fertilizer and pesticide management), fair trade, plant-based diets, and approaches to reduce food loss. The course is project-based, allowing students to apply their knowledge through individual or group projects. Assessment will include these projects, as well as quizzes and examinations, ensuring a grasp of key topics.","This course belongs to themes 7, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Environmental and Sustainability Sciences Program's core or track elective course
INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS(GIS) AND REMOTE SENSING,ESS180,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Aghavni Harutyunyan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Computer Lab 004M Main Building,"The course introduces geographic information systems (GIS) and remote sensing using satellite images. Students gain skills in spatial analysis, including collecting and problem-solving through the use of visualization and analytical tools. More and more industries rely on GIS and remote sensing to analyze and visualize data. This course will look at applications of GIS in environmental sciences, public health, sustainable transportation, land-use planning, telecommunications, hydrology, meteorology, crime patterns, etc. The course will also explore remote sensing (Earth Observation) tools offered by NASA, EU Copernicus, and private-sector satellite imagery.","This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Environmental and Sustainability Sciences Program's core or track elective course
INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS(GIS) AND REMOTE SENSING,ESS180,No prerequisite(s) for this course,B,15w,3,AUA Main Campus,Aghavni Harutyunyan,"TUE 3:00pm-4:20pm, THU 3:00pm-4:20pm",Computer Lab 001M Main Building,"The course introduces geographic information systems (GIS) and remote sensing using satellite images. Students gain skills in spatial analysis, including collecting and problem-solving through the use of visualization and analytical tools. More and more industries rely on GIS and remote sensing to analyze and visualize data. This course will look at applications of GIS in environmental sciences, public health, sustainable transportation, land-use planning, telecommunications, hydrology, meteorology, crime patterns, etc. The course will also explore remote sensing (Earth Observation) tools offered by NASA, EU Copernicus, and private-sector satellite imagery.","This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Environmental and Sustainability Sciences Program's core or track elective course
WATER,ESS244,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Garabet Kazanjian,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 416W Paramaz Avedissian Building,"The course examines water from various perspectives including ecological, human health, resource stewardship, economic, legal, and political. Topics to be covered include water supply, use, and recycling in agriculture, manufacturing, mining, energy, and domestic life; potential for resource efficiency and optimization; water quality and types of water pollution, methods of testing and monitoring water quality and conditions of freshwater ecosystems; water purification and wastewater treatment; water planning and management tool including those for watersheds, surface, and groundwater resources; new technologies, such as desalination, to access freshwater; and international and national laws on water. The course is project-based, allowing students to apply their knowledge through individual or group projects. Assessment will include these projects, as well as quizzes and examinations, ensuring a grasp of key topics.","This course belongs to themes 7, 8.",202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Environmental and Sustainability Sciences Program's core or track elective course
SOLID WASTE IN CIRCULAR ECONOMY,ESS246,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Irina Mkrtchyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 208E Paramaz Avedissian Building,"The course will enable students to understand and explore principles of sustainable waste management from environmental, technological, social, and economic viewpoints. The course covers various types of waste, including food, packaging, plastics, paper, clothes, electronics, automotive, agricultural, and more. The course will focus on the circular economy solutions discussing waste reduction strategies, green product design, reuse and recycling practices, zero-waste lifestyle, waste-to-energy, composting, biogas production, and more. The course is project-based, allowing students to apply their knowledge through individual or group projects. Assessment will include these projects, as well as quizzes and examinations, ensuring a grasp of key topics.","This course belongs to themes 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Environmental and Sustainability Sciences Program's core or track elective course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Talin Grigorian,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 206E Paramaz Avedissian Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,AA,15W,3,AUA Main Campus,Laurie Alvandian,"TUE 4:30pm-5:45pm, THU 4:30pm-5:45pm",Classroom 212M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,AB,15W,3,AUA Main Campus,Gregory Chahrozian,"TUE 6:00pm-7:15pm, THU 6:00pm-7:15pm",Classroom 315E Paramaz Avedissian Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,AC,15W,3,AUA Main Campus,Dvin Titizian,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 216M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,AD,15W,3,AUA Main Campus,Kiri Manookin,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 208M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,AE,15W,3,AUA Main Campus,Gayane Aghabalyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 206M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Vigen Vartevanian,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 202M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,C,15W,3,AUA Main Campus,Vigen Vartevanian,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 202M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,D,15W,3,AUA Main Campus,Robert Tyler,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 208M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,E,15W,3,AUA Main Campus,Rubina Gasparyan,"TUE 12:00pm-1:20pm, THU 12:00pm-1:20pm",Classroom 212M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,F,15W,3,AUA Main Campus,Steven Donatelle,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 208M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,G,15W,3,AUA Main Campus,Silva Sevlian,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 202M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,H,15W,3,AUA Main Campus,Silva Sevlian,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 202M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,I,15W,3,AUA Main Campus,Rozita Aghamalyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 204M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,J,15W,3,AUA Main Campus,Narek Sukiasyan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 212M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,K,15W,3,AUA Main Campus,Lilit Ghazaryan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 204M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,L,15W,3,AUA Main Campus,Anna Gevorgyan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 612M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,M,15W,3,AUA Main Campus,Aram Hajian,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 206M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,N,15W,3,AUA Main Campus,Kiri Manookin,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 612M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,O,15W,3,AUA Main Campus,Adelaida Baghdasaryan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 612M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,P,15W,3,AUA Main Campus,Aram Pakhchanian,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 208M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
FRESHMAN SEMINAR 1,FND101,No prerequisite(s) for this course,Q,15W,3,AUA Main Campus,Alex Vartan Gubbins,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 208M Main Building,"This course aims to introduce students to the AUA’s core values—academic excellence, free inquiry, integrity, scholarship, leadership, and service —while building students’ communication and critical thinking skills. Students are challenged to translate these values into practice and reflect upon two interrelated themes: how these values might enrich their potential as lifelong learners and leaders and how one builds a productive and democratic community. Throughout the semester students will sharpen their oral and written communication skills by engaging in class discussions and utilizing the various stages of the writing process to produce well-organized paragraphs and essays. Students will also have the opportunity to build an array of academic skills and familiarize themselves with university resources including the University’s Library, Office of Student Affairs, and Writing Center through formal in-class training and home tasks.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,General Education course
